Feasibility for comparison;;;;;;;;;;
;;;;;;;;;;
;Baseline;Baseline;Baseline;Baseline;11 w;12 w;17 w;18 w;51 w;52 w
Activity \ Visit, hours.minutes;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10
;01.30;04.30;04.30;06.30;00.30;06.30;00.30;06.30;00.30;06.30
Screening of In- & Exclusion Criteria;X;;;;;;;;;
Consent;X;;;;;;;;;
Medical history;X;;;;;;;;;
BED screening;X;;;;;;;;;
Paperwork, intros etc;X;;;;X;;X;;X;
BMI (height and weight);X;;;X;;X;;X;;X
;;;;;;;;;;
;;;;;;;;;;
ECG;X;;;;;;;;;
Blood sample;X;;;X;;X;;X;;X
HbA1C (diagnostic);X;;;X;;X;;X;;X
CGM on;X;;;X;;;;;X;
Return CGM;;;;;;;;;;X
SENS on;X;;;;X;;X;;X;
Return SENS;;;;X;;X;;X;;X
Garmin equipment handed out;;;;;;;;;;
Home collection materials handed out;X;;;;;;X;;X;
Return collected samples;;;;X;;X;;X;;X
MMTT;;X;X;X;;X;;X;;X
Finapress;;X;X;X;;X;;X;;X
Spot urine sample on site;;;;X;;X;;X;;X
Saliva sample on site;;;;X;;X;;X;;X
;;;;;;;;;;
DXA scan;;;;X;;X;;X;;X
Fibro scan;;;;X;;X;;X;;X
Waist-hip circumference;;;;X;;X;;X;;X
SCIP-D and TMT-B tests;;;;X;;X;;;;X
Questionnaires;;;;X;;;;;;
Food preference test;;;;X;;X;;X;;X
BP & HR;;;;X;;X;;X;;X
VO2 peak;;;;X;;X;;X;;X
Randomisation;;;;X;;;;;;
Intro to meal boxes;;;;;;X;;;;
Intro to mainenance diet;;;;;;;;X;;
