phase;study_week;visit;instrument_name;repetition_times
Pre;-5;0;prscreening_telefoninterview_frste_kontakt;
Pre;-4;1;besg_1_screening;
Pre;-4;1;bedq;1
Pre;-3;2;besoegsdag_2;
Pre;-3;2;vas;1
Pre;-2;3;besoegsdag_3;
Pre;-2;3;vas;2
Pre;-1;4;besoegsdag_4;
Pre;-1;4;vas;3
Pre;-1;4;randomisering;
Pre;-1;4;sociodemografiske_karakteristika;1
Pre;-1;4;diabetes_status;1
Pre;-1;4;pittsburgh_sleep_quality_index_psqi;1
Pre;-1;4;physical_and_mental_health_sf12;1
Pre;-1;4;european_quality_of_life_5_dimensions_eq5d5l;1
Pre;-1;4;tobacco_and_nicotine_use;1
Pre;-1;4;sefnc_baseline_v4;1
Pre;-1;4;item_bodily_distress_syndrome_checklist;1
Pre;-1;4;the_three_item_loneliness_scale_tils;1
Pre;-1;4;yale_food_addiction_scale_yfas;1
Pre;-1;4;social_support_for_eating_habits;1
Pre;-1;4;diabetes_distress_paid5_scale;1
1;0;;gruppemde_uge_1;
1;2;;gruppemde_uge_3;
1;4;;gruppemde_uge_5;
1;6;;gruppemde_uge_7;
1;8;;gruppemde_uge_9;
1;11;5;besgsdag_5;
1;12;;gruppemde_uge_11;
1;12;6;besgsdag_6;
1;12;6;vas;4
1;12;6;pittsburgh_sleep_quality_index_psqi;2
1;12;6;physical_and_mental_health_sf12;2
1;12;6;european_quality_of_life_5_dimensions_eq5d5l;2
1;12;6;tobacco_and_nicotine_use;2
1;12;6;sefnc_week12_v6;
1;12;6;item_bodily_distress_syndrome_checklist;2
1;12;6;the_three_item_loneliness_scale_tils;2
1;12;6;yale_food_addiction_scale_yfas;2
1;12;6;social_support_for_eating_habits;2
1;12;6;diabetes_distress_paid5_scale;2
2;14;;gruppemde_uge_13;
2;16;;gruppemde_uge_15;
2;16;7;besgsdag_7;
2;16;;gruppemde_uge_17;
2;18;8;besgsdag_8;
2;18;8;vas;5
2;18;;gruppemde_uge_18;
3;30;;hba1c_uge_30;
3;42;;hba1c_uge_42;
3;51;9;besoegsdag_9;
3;52;10;besgsdag_10_5f76;
3;52;10;vas;6
3;52;10;sociodemografiske_karakteristika_short;
3;52;10;diabetes_status;2
3;52;10;pittsburgh_sleep_quality_index_psqi;3
3;52;10;physical_and_mental_health_sf12;3
3;52;10;european_quality_of_life_5_dimensions_eq5d5l;3
3;52;10;tobacco_and_nicotine_use;3
3;52;10;selfefficacy_for_nutrition_change_sefnc_week_52;
3;52;10;item_bodily_distress_syndrome_checklist;3
3;52;10;the_three_item_loneliness_scale_tils;3
3;52;10;yale_food_addiction_scale_yfas;3
3;52;10;social_support_for_eating_habits;3
3;52;10;diabetes_distress_paid5_scale;3
