Study week,Visit,Instrument name,Comments
W-5,0,prscreening_telefoninterview_frste_kontakt,
W-4,1,"besg_1_screening,
bedq (1. time)",
W-3,2,"besoegsdag_2,
was (1. time)",
W-2,3,"besoegsdag_3,
was (2. time)",
W-1,4,"besoegsdag_4	,
was (3. time)	,
randomisering	,
sociodemografiske_karakteristika (1. time)	,
diabetes_status (1. time)	,
pittsburgh_sleep_quality_index_psqi (1. time)	,
physical_and_mental_health_sf12 (1. time)	,
european_quality_of_life_5_dimensions_eq5d5l (1. time)	,
tobacco_and_nicotine_use (1. time)	,
sefnc_baseline_v4 (1. time)	,
item_bodily_distress_syndrome_checklist (1. time)	,
the_three_item_loneliness_scale_tils (1. time)	,
yale_food_addiction_scale_yfas (1. time)	,
social_support_for_eating_habits (1. time)	,
diabetes_distress_paid5_scale (1. time)	",
W1,,gruppemde_uge_1,
W3,,gruppemde_uge_3,
W5,,gruppemde_uge_5,
W7,,gruppemde_uge_7,
W9,,gruppemde_uge_9,
W11,5,"besgsdag_5,
gruppemde_uge_11",
W12,6,"besgsdag_6	,
was (4. time)	,
pittsburgh_sleep_quality_index_psqi (2. time)	,
physical_and_mental_health_sf12 (2. time)	,
european_quality_of_life_5_dimensions_eq5d5l (2. time)	,
tobacco_and_nicotine_use (2. time)	,
sefnc_week12_v6	,
item_bodily_distress_syndrome_checklist (2. time)	,
the_three_item_loneliness_scale_tils (2. time)	,
yale_food_addiction_scale_yfas (2. time)	,
social_support_for_eating_habits (2. time)	,
diabetes_distress_paid5_scale (2. time)	",
W13,,gruppemde_uge_13,
W15,,gruppemde_uge_15,
W16,7,besgsdag_7,
W17,,gruppemde_uge_17,
W18,8,"besgsdag_8,
was (5. time),
gruppemde_uge_18",
W30,,hba1c_uge_30,
W42,,hba1c_uge_42,
W51,9,besoegsdag_9,
W52,10,"besgsdag_10_5f76	,
was (6. time)	,
sociodemografiske_karakteristika_short	,
diabetes_status (2. time)	,
pittsburgh_sleep_quality_index_psqi (3. time)	,
physical_and_mental_health_sf12 (3. time)	,
european_quality_of_life_5_dimensions_eq5d5l (3. time)	,
tobacco_and_nicotine_use (3. time)	,
selfefficacy_for_nutrition_change_sefnc_week_52	,
item_bodily_distress_syndrome_checklist (3. time)	,
the_three_item_loneliness_scale_tils (3. time)	,
yale_food_addiction_scale_yfas (3. time)	,
social_support_for_eating_habits (3. time)	,
diabetes_distress_paid5_scale (3. time)	",
No week,,stamdata,"Running updates throughout weeks 1-52
This form will contain basic information about the participant as well as information about drop-out or completion of study"
No week,,adverse_events,"Anytime throughout weeks 1-52
This form will register any adverse event the participant experience throughout the study, the form has a date of completion and the dates of the event"
No week,,fase_1_ditetiske_afvigelser,"Anytime through weeks 1-11
This form will register any deviation from the NUPO diet, the form has a date of completion and the dates of the event"
No week,,fase_2_ditetiske_afvigelser,"Anytime through weeks 12-18
This form will register any deviation from the reintroduction of normal meals, the form has a date of completion and the dates of the event"
No week,,fase_3_ditetiske_afvigelser,"Anytime after week 18
This form will register any deviation from the recommended diet, the form has a date of completion and the dates of the event"
No week,,trningsafvigelser,"Anytime after week 18
This form will register any deviation from the recommended exercise, the form has a date of completion and the dates of the event"
No week,,ekstra_kontakt,"Anytime throughout weeks 1-52
This form will capture any contact between study staff and the participant that falls outside the standard touch points. The form as a date for the contact and it is expected that the form is completed on the day of the contact."
No week,,hba1c_follow_up,"Anytime throughout weeks 1-52
This form will register any extra HbA1c testing done at the lab if the study team suspects that there is a problem, the form as a date for the testing"
No week,,medicine_changes,"Anytime throughout weeks 1-52
This form will register any changes to medicine during the study, the form has a date for the capture of the information"
No week,,individual_ditistsamtale_1,At some point between weeks 18 and 50
No week,,individual_ditistsamtale_2,At some point between weeks 18 and 50
No week,,individual_ditistsamtale_3,At some point between weeks 18 and 50
No week,,individual_ditistsamtale_4,At some point between weeks 18 and 50
